Field Identification,,,,Field Type,,,ICH,,Post-Market,,Pre-Market (IND and IND-exempt BA/BE),,VAERS,,,,,Type of Change,Q&A,Null Flag Applicable,,,,,,,,,Field OIDs,HL7 Data Type,,Xpath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.3.3 ,C.3.3.3 ,Sender’s Given Name,60,AN,Free Text,Optional,See the business rules for C.3.3.,Required,Regionally required for all reports.  ,Required,Regionally required for all reports.  ,,,,Mandatory,Regionally required for all reports.  ,"Regional differences to the ICH business rules, field lengths, and nulflavors",,No,No,No,No,No,No,No,No,No,-,Person Name (PN),given=Entity Name Part (ENXP),/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/subjectOf1[@typeCode='SUBJ'][controlActEvent/author/assignedEntity/code[@codeSystem='2.16.840.1.113883.3.989.2.1.1.7']][1]/controlActEvent[@classCode='CACT'][@moodCode='EVN']/author[@typeCode='AUT']/assignedEntity[@classCode='ASSIGNED']/assignedPerson[@classCode='PSN'][@determinerCode='INSTANCE']/name/given[1]/text(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.3.3 ,C.3.3.4 ,Sender’s Middle Name,60,AN,Free Text,Optional,"
ISO / HL7 27953-2 does not support the concept of ‘middle name’, thus to transmit this in the message it is necessary to repeat the ‘given name’ tag. The first ‘given name’ tag captures sender’s given name and the second ‘given name’ tag captures sender’s middle name. The order of the tags indicate the order of the names.
<name>
<prefix>C.3.3.2</prefix>
<!--C.3.3.2: Sender's Title #1 -->
<given>C.3.3.3</given>
<!--C.3.3.3: Sender's Given Name #1 -->
<given>C.3.4</given>
<!--C.3.3.4: Sender's Middle Name #1 -->
<family>C.3.3.5</family>
<!--C.3.3.5: Sender's Family Name #1 -->
</name>",-,,-,,,,,,,Conforms with ICH business rules,,No,No,No,No,No,No,No,No,No,-,Person Name (PN),given=Entity Name Part (ENXP),/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/subjectOf1[@typeCode='SUBJ'][controlActEvent/author/assignedEntity/code[@codeSystem='2.16.840.1.113883.3.989.2.1.1.7']][1]/controlActEvent[@classCode='CACT'][@moodCode='EVN']/author[@typeCode='AUT']/assignedEntity[@classCode='ASSIGNED']/assignedPerson[@classCode='PSN'][@determinerCode='INSTANCE']/name/given[2]/text(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.3.3 ,C.3.3.5 ,Sender’s Family Name,60,AN,Free Text,Optional,See the business rules for C.3.3.,Required,Regionally required for all reports.  ,Required,Regionally required for all reports.  ,,,,Mandatory,Regionally required for all reports.  ,"Regional differences to the ICH business rules, field lengths, and nulflavors",,No,No,No,No,No,No,No,No,No,-,Person Name (PN),family=Entity Name Part (ENXP),/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/subjectOf1[@typeCode='SUBJ'][controlActEvent/author/assignedEntity/code[@codeSystem='2.16.840.1.113883.3.989.2.1.1.7']][1]/controlActEvent[@classCode='CACT'][@moodCode='EVN']/author[@typeCode='AUT']/assignedEntity[@classCode='ASSIGNED']/assignedPerson[@classCode='PSN'][@determinerCode='INSTANCE']/name/family[1]/text(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.3.4 ,(Header),"Sender's Address, Fax, Telephone and E-mail Address",,,,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.3.4 ,C.3.4.1,Sender’s Street Address,100,AN,Free Text,Optional,See the business rules for C.3.3.,Required,Regionally required for all reports.  ,Required,Regionally required for all reports.  ,,,,Mandatory,Regionally required for all reports.  ,"Regional differences to the ICH business rules, field lengths, and nulflavors",,No,No,No,No,No,No,No,No,No,-,Postal Address (AD),streetAddressLine=Address Part (ADXP),/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/subjectOf1[@typeCode='SUBJ'][controlActEvent/author/assignedEntity/code[@codeSystem='2.16.840.1.113883.3.989.2.1.1.7']][1]/controlActEvent[@classCode='CACT'][@moodCode='EVN']/author[@typeCode='AUT']/assignedEntity[@classCode='ASSIGNED']/addr[1]/streetAddressLine[1]/text(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.3.4 ,C.3.4.2 ,Sender’s City,35,AN,Free Text,Optional,See the business rules for C.3.3.,Required,Regionally required for all reports.  ,Required,Regionally required for all reports.  ,,,,Mandatory,Regionally required for all reports.  ,"Regional differences to the ICH business rules, field lengths, and nulflavors",,No,No,No,No,No,No,No,No,No,-,Postal Address (AD),city=Address Part (ADXP),/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/subjectOf1[@typeCode='SUBJ'][controlActEvent/author/assignedEntity/code[@codeSystem='2.16.840.1.113883.3.989.2.1.1.7']][1]/controlActEvent[@classCode='CACT'][@moodCode='EVN']/author[@typeCode='AUT']/assignedEntity[@classCode='ASSIGNED']/addr[1]/city[1]/text(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.3.4 ,C.3.4.3 ,Sender’s State or Province,40,AN,Free Text,Optional,See the business rules for C.3.3.,Required,Regionally required for all reports.  ,Required,Regionally required for all reports.  ,,,,Mandatory,Regionally required for all reports.  ,"Regional differences to the ICH business rules, field lengths, and nulflavors",,No,No,No,No,No,No,No,No,No,-,Postal Address (AD),state=Address Part (ADXP),/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/subjectOf1[@typeCode='SUBJ'][controlActEvent/author/assignedEntity/code[@codeSystem='2.16.840.1.113883.3.989.2.1.1.7']][1]/controlActEvent[@classCode='CACT'][@moodCode='EVN']/author[@typeCode='AUT']/assignedEntity[@classCode='ASSIGNED']/addr[1]/state[1]/text(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.3.4 ,C.3.4.4 ,Sender’s Postcode,15,AN,Free Text,Optional,See the business rules for C.3.3.,Required,Regionally required for all reports.  ,Required,Regionally required for all reports.  ,,,,Mandatory,Regionally required for all reports.  ,"Regional differences to the ICH business rules, field lengths, and nulflavors",,No,No,No,No,No,No,No,No,No,-,Postal Address (AD),postalCode=Address Part (ADXP),/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/subjectOf1[@typeCode='SUBJ'][controlActEvent/author/assignedEntity/code[@codeSystem='2.16.840.1.113883.3.989.2.1.1.7']][1]/controlActEvent[@classCode='CACT'][@moodCode='EVN']/author[@typeCode='AUT']/assignedEntity[@classCode='ASSIGNED']/addr[1]/postalCode[1]/text(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.3.4 ,C.3.4.5 ,Sender’s Country Code,2,AN,ISO 3166-1 alpha-2,Optional,See the business rules for C.3.3.,Required,Regionally required for all reports.  ,Required,Regionally required for all reports.  ,,,,Mandatory,Regionally required for all reports.  ,"Regional differences to the ICH business rules, field lengths, and nulflavors",,No,No,No,No,No,No,No,No,No,1.0.3166.1.2.2,Concept Descriptor (CD),code=Character String (ST),/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/subjectOf1[@typeCode='SUBJ'][controlActEvent/author/assignedEntity/code[@codeSystem='2.16.840.1.113883.3.989.2.1.1.7']][1]/controlActEvent[@classCode='CACT'][@moodCode='EVN']/author[@typeCode='AUT']/assignedEntity[@classCode='ASSIGNED']/assignedPerson[@classCode='PSN'][@determinerCode='INSTANCE']/asLocatedEntity[@classCode='LOCE'][1]/location[@classCode='COUNTRY'][@determinerCode='INSTANCE']/code[@codeSystem='1.0.3166.1.2.2']/@code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.3.4 ,C.3.4.6 ,Sender’s Telephone,33,AN,Free Text,Optional,See the business rules for C.3.3.,Required,Regionally required for all reports.  ,Required,Regionally required for all reports.  ,,,,Mandatory,Regionally required for all reports.  ,"Regional differences to the ICH business rules, field lengths, and nulflavors",,No,No,No,No,No,No,No,No,No,-,Telecommunication Address (TEL),,"substring(/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/subjectOf1[@typeCode='SUBJ'][controlActEvent/author/assignedEntity/code[@codeSystem='2.16.840.1.113883.3.989.2.1.1.7']][1]/controlActEvent[@classCode='CACT'][@moodCode='EVN']/author[@typeCode='AUT']/assignedEntity[@classCode='ASSIGNED']/telecom[starts-with(@value, 'tel:')][1]/@value, 5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.3.4 ,C.3.4.7,Sender’s Fax,33,AN,Free Text,Optional,See the business rules for C.3.3.,Required,Regionally required for all reports.  ,Required,Regionally required for all reports.  ,,,,Mandatory,Regionally required for all reports.  ,"Regional differences to the ICH business rules, field lengths, and nulflavors",,No,No,No,No,No,No,No,No,No,-,Telecommunication Address (TEL),,"substring(/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/subjectOf1[@typeCode='SUBJ'][controlActEvent/author/assignedEntity/code[@codeSystem='2.16.840.1.113883.3.989.2.1.1.7']][1]/controlActEvent[@classCode='CACT'][@moodCode='EVN']/author[@typeCode='AUT']/assignedEntity[@classCode='ASSIGNED']/telecom[starts-with(@value, 'fax:')][1]/@value, 5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.3.4 ,C.3.4.8 ,Sender’s E-mail Address,100,AN,Free Text,Optional,See the business rules for C.3.3.,Required,Regionally required for all reports.  ,Required,Regionally required for all reports.  ,,,,Mandatory,Regionally required for all reports.  ,"Regional differences to the ICH business rules, field lengths, and nulflavors",,No,No,No,No,No,No,No,No,No,-,Telecommunication Address (TEL),,"substring(/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/subjectOf1[@typeCode='SUBJ'][controlActEvent/author/assignedEntity/code[@codeSystem='2.16.840.1.113883.3.989.2.1.1.7']][1]/controlActEvent[@classCode='CACT'][@moodCode='EVN']/author[@typeCode='AUT']/assignedEntity[@classCode='ASSIGNED']/telecom[starts-with(@value, 'mailto:')][1]/@value, 8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.4.r,(Header), Literature Reference(s) (repeat as necessary),-,-,-,-,-,-,-,-,-,,-,,,,-,,-,-,-,-,-,-,-,-,,-,,,/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/reference[@typeCode='REFR'][document/code[@code='2'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.27']],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.4.r,C.4.r.1 ,Literature Reference(s),500,AN,"Free Text 
nullFlavor: ASKU, NASK",Optional,Please see Section 3.3.6 (of IG) for further guidance on the use of nullFlavor to describe missing or non-transmitted information.,-,,-,,,,,,,Conforms with ICH business rules,,No,No,No,No,Yes,Yes,No,No,No,2.16.840.1.113883.3.989.2.1.1.27,Encapsulated Data (ED),,/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/reference[@typeCode='REFR'][document/code[@code='2'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.27']][r]/document[@classCode='DOC'][@moodCode='EVN']/bibliographicDesignationText/text(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.4.r,C.4.r.2 ,Included Documents,-,B64,"Media type: e.g. Application/PDF, image/jpeg, application/DICOM, text/plain Representation: e.g.B64  ",Optional,"For further information on how to attach documents to an ICSR, please see Section 3.5.
Because a receiver’s system may have particular configurations on handling attachments, ‘Value Allowed’ is defined by each region.",-,,-,,,,,,"The location of the attachment file name must follow the <text mediaType> attribute based upon the following example:  text mediaType=""text/plain"" representation=""B64"">
        <reference value=""SUMMARY OF CLINICAL HISTORY.txt""/>. If the file extension in the filename does not match the media type, the ICSR file will be rejected. ","Regional differences to the ICH business rules, field lengths, and nulflavors",,No,No,No,No,No,No,No,No,No,-,Encapsulated Data (ED),,/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/reference[@typeCode='REFR'][document/code[@code='2'][@codeSystem='2.16.840.1.113883.3.989.2.1.1.27']][r]/document[@classCode='DOC'][@moodCode='EVN']/text/text(),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.5 ,(Header),Study Identification,-,-,-,-,-,-,-,-,-,,-,,,,-,,-,-,-,-,-,-,-,-,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.5.1.r ,(Header),Study Registration (repeat as necessary),-,-,-,-,-,-,-,-,-,,-,,,,-,,-,-,-,-,-,-,-,-,,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.5.1.r ,C.5.1.r.1,Study Registration Number,50,AN,"Free Text  nullFlavor: ASKU,NASK",Optional,"Please see Section 3.3.6 for further guidance on the use of nullFlavor to describe missing or non-transmitted information.
The following notation will be used to represent C.5.1.r.1:
<id extension=""study registration number"" root=""2.16.840.1.113883.3.989.2.1.3.6""/>
The root indicates the namespace of C.5.1.r.1, the actual study registration number is populated at id extension.",-,,-,,,,,,,Conforms with ICH business rules,,No,No,No,No,Yes,Yes,No,No,No,2.16.840.1.113883.3.989.2.1.3.6,Instance Identifier (II),extension=Character String (ST),/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/component[@typeCode='COMP'][adverseEventAssessment][1]/adverseEventAssessment[@classCode='INVSTG'][@moodCode='EVN']/subject1[@typeCode='SBJ'][1]/primaryRole[@classCode='INVSBJ']/subjectOf1[@typeCode='SBJ'][1]/researchStudy[@classCode='CLNTRL'][@moodCode='EVN']/authorization[@typeCode='AUTH'][r]/studyRegistration[@classCode='ACT'][@moodCode='EVN']/id[@root='2.16.840.1.113883.3.989.2.1.3.6']/@extension,/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/component[@typeCode='COMP'][adverseEventAssessment][1]/adverseEventAssessment[@classCode='INVSTG'][@moodCode='EVN']/subject1[@typeCode='SBJ'][1]/primaryRole[@classCode='INVSBJ']/subjectOf1[@typeCode='SBJ'][1]/researchStudy[@classCode='CLNTRL'][@moodCode='EVN']/authorization[@typeCode='AUTH'][r]/studyRegistration[@classCode='ACT'][@moodCode='EVN']/id[@root='2.16.840.1.113883.3.989.2.1.3.6']/@nullFlavor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.5.1.r ,C.5.1.r.2 ,Study Registration Country,2,A,"ISO 3166-1 alpha-2, EU  nullFlavor: ASKU, NASK",Optional,"A two character country code will be used in all instances.   The country code EU exists in the ISO 3166 country code list as an exceptional reservation code to support any application that needs to represent the name European Union.   In this case, 'EU' will be accepted as the country code.   Please see section 3.3.6 for further guidance on the use of nullFlavor to describe missing or non-transmitted information.",-,,-,,,,,,,Conforms with ICH business rules,,No,No,No,No,Yes,Yes,No,No,No,1.0.3166.1.2.2,Concept Descriptor (CD),code=Character String (ST),/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/component[@typeCode='COMP'][adverseEventAssessment][1]/adverseEventAssessment[@classCode='INVSTG'][@moodCode='EVN']/subject1[@typeCode='SBJ'][1]/primaryRole[@classCode='INVSBJ']/subjectOf1[@typeCode='SBJ'][1]/researchStudy[@classCode='CLNTRL'][@moodCode='EVN']/authorization[@typeCode='AUTH'][r]/studyRegistration[@classCode='ACT'][@moodCode='EVN']/author[@typeCode='AUT']/territorialAuthority[@classCode='TERR']/governingPlace[@classCode='COUNTRY'][@determinerCode='INSTANCE']/code[@codeSystem='1.0.3166.1.2.2']/@code,/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/component[@typeCode='COMP'][adverseEventAssessment][1]/adverseEventAssessment[@classCode='INVSTG'][@moodCode='EVN']/subject1[@typeCode='SBJ'][1]/primaryRole[@classCode='INVSBJ']/subjectOf1[@typeCode='SBJ'][1]/researchStudy[@classCode='CLNTRL'][@moodCode='EVN']/authorization[@typeCode='AUTH'][r]/studyRegistration[@classCode='ACT'][@moodCode='EVN']/author[@typeCode='AUT']/territorialAuthority[@classCode='TERR']/governingPlace[@classCode='COUNTRY'][@determinerCode='INSTANCE']/code/@nullFlavor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICH,C.5 ,C.5.2 ,Study Name,2000,AN,"Free Text  nullFlavor: ASKU,NASK",Optional,Please see section 3.3.6 for further guidance on the use of nullFlavor to describe missing or non-transmitted information,-,,-,"If Type of Report (C.1.3) is 2=Report from study and Message Receiver Identifier (N.2.r.3) = 'CDER_IND' or 'CBER_IND' then Study Name (C.5.2) should be in the format Study ID$Abbreviated Trial Name

The  Study ID should be the same value used in the Study Tagging file format of the eCTD submission.",,,,,,"Regional differences to the ICH business rules, field lengths, and nulflavors",,No,No,No,No,Yes,Yes,No,No,No,-, Character String (ST),,/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/component[@typeCode='COMP'][adverseEventAssessment][1]/adverseEventAssessment[@classCode='INVSTG'][@moodCode='EVN']/subject1[@typeCode='SBJ'][1]/primaryRole[@classCode='INVSBJ']/subjectOf1[@typeCode='SBJ'][1]/researchStudy[@classCode='CLNTRL'][@moodCode='EVN']/title/text(),/MCCI_IN200100UV01/PORR_IN049016UV[r]/controlActProcess[@classCode='CACT'][@moodCode='EVN']/subject[@typeCode='SUBJ'][1]/investigationEvent[@classCode='INVSTG'][@moodCode='EVN']/component[@typeCode='COMP'][adverseEventAssessment][1]/adverseEventAssessment[@classCode='INVSTG'][@moodCode='EVN']/subject1[@typeCode='SBJ'][1]/primaryRole[@classCode='INVSBJ']/subjectOf1[@typeCode='SBJ'][1]/researchStudy[@classCode='CLNTRL'][@moodCode='EVN']/title/@nullFlavor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
